"","Sample01","Sample02","Sample03","Sample04","Sample05","Sample06","Sample07","Sample08","Sample09","Sample10"
"taxa001",25,7,54,72,63,42,71,53,99,65
"taxa002",66,5,89,34,15,27,86,81,25,87
"taxa003",66,57,96,94,81,59,45,15,47,100
"taxa004",3,4,93,12,83,3,82,6,83,85
"taxa005",39,38,25,55,24,81,42,13,97,56
"taxa006",70,10,23,42,18,15,21,31,58,64
"taxa007",25,59,57,58,56,62,33,37,32,40
"taxa008",46,30,27,30,40,11,1,8,21,34
"taxa009",40,25,26,19,17,1,32,24,6,39
"taxa010",8,25,19,7,6,25,23,8,4,2
"taxa011",2,10,4,23,3,14,3,15,4,22
"taxa012",22,21,19,16,15,2,20,25,16,1
"taxa013",25,1,4,8,15,22,20,12,4,3
"taxa014",9,9,3,10,4,7,3,10,4,9
"taxa015",6,3,2,4,5,4,2,2,3,1
